rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,firstDowns,thirdDownEff,fourthDownEff,totalYards,netPassingYards,completionAttempts,yardsPerPass,rushingYards,rushingAttempts,yardsPerRushAttempt,totalPenaltiesYards,turnovers,fumblesLost,interceptions,possessionTime,team,home_away,points,game_id,season,week,season_type
5,,,,0,112,0,4,14,,,,3,0,6,0,51,3,0,12,23,9-21,0-1,471,89,9-30,3.0,382,63,6.1,5-39,0,0,0,36:22,Texas A&M,away,44,400933838,2017,1,regular
0,,,,1,157,0,8,1,,,,2,2,3,0,61,0,1,4,8,1-15,1-1,167,113,12-27,4.2,54,30,1.8,8-68,1,1,0,28:25,Central Connecticut,away,7,400937451,2017,1,regular
3,7,0,5,3,56,0,2,14,,,,1,2,6,0,37,1,3,3,34,11-19,1-1,586,431,37-52,8.3,155,41,3.8,4-28,2,2,0,31:35,Syracuse,home,50,400937451,2017,1,regular
1,,,,2,33,0,2,3,,,,1,0,6,0,47,3,3,4,19,4-11,2-2,418,311,18-32,9.7,107,26,4.1,5-45,1,0,1,25:29,Youngstown State,away,21,400937450,2017,1,regular
3,66,0,1,1,71,0,3,4,0,0,1,0,1,4,0,36,1,8,5,24,9-16,3-3,348,140,17-24,5.8,208,53,3.9,0-0,1,1,0,34:31,Pittsburgh,home,28,400937450,2017,1,regular
4,17,0,2,3,46,0,2,11,105,1,3,1,2,8,1,44,1,4,3,25,8-12,0-0,478,244,15-23,10.6,234,45,5.2,9-73,2,2,0,33:19,Wisconsin,home,59,400935231,2017,1,regular
1,0,0,1,0,96,0,5,4,,,,2,2,5,0,45,3,1,2,16,5-16,2-3,304,219,25-41,5.3,85,27,3.1,9-93,4,1,3,26:41,Utah State,away,10,400935231,2017,1,regular
0,9,0,1,0,16,0,1,7,53,1,1,0,3,12,1,48,4,0,3,11,4-16,1-1,215,139,17-34,4.1,76,29,2.6,8-60,3,2,1,24:24,Troy,away,13,400944830,2017,1,regular
1,124,1,5,1,103,0,2,6,0,0,1,2,1,9,1,43,4,0,4,19,9-19,0-4,357,210,19-32,6.6,147,44,3.3,7-47,2,1,1,35:36,Boise State,home,24,400944830,2017,1,regular
1,,,,1,,,,5,0,0,2,1,0,6,0,57,2,5,7,19,7-14,0-0,345,202,21-29,7.0,143,38,3.8,7-59,2,0,2,28:43,Colorado,home,17,400935249,2017,1,regular
0,,,,0,,,,3,0,0,2,0,1,8,0,52,5,0,0,23,9-18,0-3,397,309,24-47,6.6,88,33,2.7,10-120,3,1,2,31:17,Colorado State,away,3,400935249,2017,1,regular
1,,,,2,109,0,5,9,0,0,1,1,2,2,0,46,0,5,3,23,10-16,0-0,456,304,27-47,6.5,152,29,5.2,3-21,5,2,3,25:41,Oregon State,away,27,400935282,2017,1,regular
3,-3,0,1,3,86,0,3,16,61,1,3,2,2,6,1,37,1,10,4,31,8-14,1-1,525,334,26-39,8.6,191,43,4.4,8-40,2,1,1,34:19,Colorado State,home,58,400935282,2017,1,regular
0,37,0,3,3,30,0,1,6,46,0,2,0,4,7,0,36,3,4,3,16,4-13,2-2,263,125,8-15,8.3,138,41,3.4,3-25,4,3,1,28:54,Iowa,home,24,400935233,2017,1,regular
0,,,,0,20,0,2,3,0,0,1,3,1,6,0,37,2,3,2,15,5-18,1-2,233,174,23-40,4.3,59,30,2.0,5-40,2,0,2,31:06,Wyoming,away,3,400935233,2017,1,regular
0,,,,2,34,0,2,2,,,,2,2,5,0,34,3,0,1,20,7-18,0-1,282,274,35-55,5.0,8,21,0.4,6-48,3,1,2,33:39,Abilene Christian,away,14,400945247,2017,1,regular
3,-11,0,1,1,47,0,2,8,108,1,2,1,2,4,1,38,2,4,5,21,3-9,1-3,481,222,12-18,12.3,259,40,6.5,4-29,2,2,0,26:21,New Mexico,home,38,400945247,2017,1,regular
0,-2,0,1,0,69,0,4,,,,,0,3,2,0,40,2,0,2,6,3-14,0-0,95,40,10-19,2.1,55,28,2.0,2-20,1,0,1,24:39,VMI,away,0,400945246,2017,1,regular
7,9,0,2,2,,,,8,34,0,1,0,,7,0,20,1,0,3,32,7-10,1-1,663,190,10-14,13.6,473,67,7.1,5-53,0,0,0,35:21,Air Force,home,62,400945246,2017,1,regular
0,11,0,2,0,111,0,7,0,,,,0,1,4,0,43,0,0,1,8,3-16,0-0,125,155,15-31,5.0,-30,27,-1.1,7-50,2,1,1,27:22,Incarnate Word,away,0,400945248,2017,1,regular
4,59,0,5,4,64,0,3,14,0,0,1,1,2,9,0,43,2,1,3,26,10-16,0-1,613,414,23-37,11.2,199,40,5.0,3-15,0,0,0,32:38,Fresno State,home,66,400945248,2017,1,regular
0,0,0,1,2,82,0,4,5,25,0,1,1,2,4,0,53,2,0,0,16,4-11,0-1,315,258,19-24,10.8,57,27,2.1,9-79,3,1,2,20:54,UC Davis,away,17,400945250,2017,1,regular
3,9,0,2,2,32,0,2,8,5,0,2,1,1,8,0,40,1,0,0,28,8-13,0-0,513,237,17-23,10.3,276,52,5.3,10-87,2,1,1,39:06,San Diego State,home,38,400945250,2017,1,regular
4,,,,1,85,0,5,5,,,,3,,2,0,37,0,0,3,21,10-20,2-4,449,140,15-26,5.4,309,61,5.1,10-96,1,0,1,32:30,Howard,away,43,400945252,2017,1,regular
3,18,0,2,1,53,0,5,16,-1,0,1,0,3,9,0,60,0,0,1,25,4-11,0-0,564,220,11-21,10.5,344,46,7.5,13-90,3,3,0,27:30,UNLV,home,40,400945252,2017,1,regular
1,,,,0,,,,7,,,,2,5,9,0,41,2,1,3,13,6-18,1-1,233,37,4-10,3.7,196,61,3.2,3-15,3,3,0,33:25,Cal Poly,away,13,400945251,2017,1,regular
1,3,0,3,3,43,0,3,4,,,,3,2,8,0,45,0,1,1,23,8-17,1-3,482,211,15-26,8.1,271,52,5.2,7-57,2,2,0,26:35,San José State,home,34,400945251,2017,1,regular
4,0,0,4,2,16,0,1,6,48,0,3,0,,5,0,53,1,0,12,29,3-19,3-3,548,233,13-26,9.0,315,74,4.3,10-57,0,0,0,36:30,South Florida,away,42,400941786,2017,1,regular
0,43,0,4,3,18,0,1,4,,,,0,,11,0,62,3,0,6,18,7-21,1-2,387,278,25-50,5.6,109,38,2.9,9-64,3,0,3,23:30,San José State,home,22,400941786,2017,1,regular
2,,,,2,49,0,3,7,0,0,1,1,1,3,0,36,0,7,5,26,8-19,3-5,508,352,28-38,9.3,156,50,3.1,8-90,2,1,1,38:55,Northwestern,home,31,400935236,2017,1,regular
0,18,0,2,2,90,0,4,8,3,0,1,1,2,8,0,50,1,2,3,19,5-14,0-2,341,199,16-37,5.4,142,26,5.5,6-65,2,1,1,21:05,Nevada,away,20,400935236,2017,1,regular
1,8,0,1,1,90,0,7,4,26,0,2,0,3,4,0,52,2,0,5,30,7-17,0-1,482,270,23-41,6.6,212,48,4.4,8-74,3,2,1,28:18,Western Carolina,away,18,400945249,2017,1,regular
3,3,0,1,2,83,0,4,5,24,0,1,2,,14,0,60,5,2,4,23,5-12,0-1,453,154,12-24,6.4,299,49,6.1,11-104,2,0,2,31:42,Hawai'i,home,41,400945249,2017,1,regular
