team_id,record_string
Utah 2020,3-2
Virginia 2020,5-5
Virginia Tech 2020,5-6
Washington 2020,3-1
Washington State 2020,1-3
Wisconsin 2020,4-3
Marshall 2020,7-3
West Virginia 2020,6-4
Fresno State 2020,3-3
Georgia Southern 2020,8-5
Louisiana 2020,10-1
Coastal Carolina 2020,11-1
Texas State 2020,2-10
Utah State 2020,1-5
Alabama 2020,13-0
Mississippi State 2020,4-7
Army 2020,9-3
Illinois 2020,2-6
Air Force 2020,3-3
Akron 2020,1-5
Appalachian State 2020,9-3
Arkansas State 2020,4-7
Ball State 2020,7-1
Buffalo 2020,6-1
UCF 2020,6-4
Central Michigan 2020,3-3
Cincinnati 2020,9-1
Eastern Michigan 2020,2-4
Florida Atlantic 2020,5-4
Florida International 2020,0-5
Georgia State 2020,6-4
Iowa 2020,6-2
Kansas 2020,0-9
Kansas State 2020,4-6
Kent State 2020,3-1
Liberty 2020,10-1
Louisiana Tech 2020,5-5
Miami 2020,8-3
Middle Tennessee 2020,3-6
Navy 2020,3-7
Charlotte 2020,2-4
Louisiana Monroe 2020,0-10
UNLV 2020,0-6
Nevada 2020,7-2
Northern Illinois 2020,0-6
Oregon 2020,4-3
Purdue 2020,2-4
SMU 2020,7-3
Southern Mississippi 2020,3-7
South Carolina 2020,2-8
TCU 2020,6-4
Tennessee 2020,3-7
UT San Antonio 2020,7-5
UTEP 2020,3-5
Texas Tech 2020,4-6
Toledo 2020,4-2
Troy 2020,5-6
Tulane 2020,6-6
Western Michigan 2020,4-2
Wyoming 2020,2-4
Auburn 2021,6-7
UAB 2021,9-4
South Alabama 2021,5-7
Arkansas 2021,9-4
Arizona State 2021,8-5
Arizona 2021,1-11
San Diego State 2021,12-2
San José State 2021,5-7
Stanford 2021,3-9
California 2021,5-7
UCLA 2021,8-4
USC 2021,4-8
Colorado State 2021,3-9
Colorado 2021,4-8
Connecticut 2021,1-11
Florida State 2021,5-7
Florida 2021,6-7
South Florida 2021,2-10
Georgia Tech 2021,3-9
Georgia 2021,14-1
Hawai'i 2021,6-7
Iowa State 2021,7-6
Boise State 2021,7-5
Northwestern 2021,3-9
Indiana 2021,2-10
Notre Dame 2021,11-2
Kentucky 2021,10-3
Louisville 2021,6-7
Western Kentucky 2021,9-5
LSU 2021,6-7
Boston College 2021,6-6
UMass 2021,1-11
Maryland 2021,7-6
Michigan State 2021,11-2
Michigan 2021,12-2
Minnesota 2021,9-4
Missouri 2021,6-7
Ole Miss 2021,10-3
Duke 2021,3-9
East Carolina 2021,7-5
NC State 2021,9-3
North Carolina 2021,6-7
Wake Forest 2021,11-3
Nebraska 2021,3-9
Rutgers 2021,5-8
New Mexico State 2021,2-10
New Mexico 2021,3-9
Syracuse 2021,5-7
Bowling Green 2021,4-8
Miami (OH) 2021,7-6
Ohio State 2021,11-2
Ohio 2021,3-9
Oklahoma State 2021,12-2
Oklahoma 2021,11-2
Tulsa 2021,7-6
Oregon State 2021,7-6
Penn State 2021,7-6
Temple 2021,3-9
Pittsburgh 2021,11-3
Clemson 2021,10-3
Memphis 2021,6-6
Vanderbilt 2021,2-10
Baylor 2021,12-2
Rice 2021,4-8
Texas A&M 2021,8-4
Houston 2021,12-2
North Texas 2021,6-7
Texas 2021,5-7
BYU 2021,10-3
Utah 2021,10-4
Virginia 2021,6-6
Virginia Tech 2021,6-7
Washington 2021,4-8
Washington State 2021,7-6
Wisconsin 2021,9-4
Marshall 2021,7-6
West Virginia 2021,6-7
Fresno State 2021,10-3
Georgia Southern 2021,3-9
Old Dominion 2021,6-7
Louisiana 2021,13-1
Coastal Carolina 2021,11-2
Texas State 2021,4-8
Utah State 2021,11-3
Alabama 2021,13-2
Mississippi State 2021,7-6
Army 2021,9-4
Illinois 2021,5-7
Air Force 2021,10-3
Akron 2021,2-10
Appalachian State 2021,10-4
Arkansas State 2021,2-10
Ball State 2021,6-7
Buffalo 2021,4-8
UCF 2021,9-4
Central Michigan 2021,9-4
Cincinnati 2021,13-1
Eastern Michigan 2021,7-6
Florida Atlantic 2021,5-7
Florida International 2021,1-11
Georgia State 2021,8-5
Iowa 2021,10-4
Kansas 2021,2-10
Kansas State 2021,8-5
Kent State 2021,7-7
Liberty 2021,8-5
Louisiana Tech 2021,3-9
Miami 2021,7-5
Middle Tennessee 2021,7-6
Navy 2021,4-8
Charlotte 2021,5-7
Louisiana Monroe 2021,4-8
UNLV 2021,2-10
Nevada 2021,8-5
Northern Illinois 2021,9-5
Oregon 2021,10-4
Purdue 2021,9-4
SMU 2021,8-4
Southern Mississippi 2021,3-9
South Carolina 2021,7-6
TCU 2021,5-7
Tennessee 2021,7-6
UT San Antonio 2021,12-2
UTEP 2021,7-6
Texas Tech 2021,7-6
Toledo 2021,7-6
Troy 2021,5-7
Tulane 2021,2-10
Western Michigan 2021,8-5
Wyoming 2021,7-6
Auburn 2022,5-7
UAB 2022,7-6
South Alabama 2022,10-3
Arkansas 2022,7-6
Arizona State 2022,3-9
Arizona 2022,5-7
San Diego State 2022,7-6
San José State 2022,7-5
Stanford 2022,3-9
California 2022,4-8
UCLA 2022,9-4
USC 2022,11-3
Colorado State 2022,3-9
Colorado 2022,1-11
Connecticut 2022,6-7
Florida State 2022,10-3
Florida 2022,6-7
South Florida 2022,1-11
Georgia Tech 2022,5-7
Georgia 2022,15-0
Hawai'i 2022,3-10
Iowa State 2022,4-8
Boise State 2022,10-4
Northwestern 2022,1-11
Indiana 2022,4-8
Notre Dame 2022,9-4
Kentucky 2022,7-6
Louisville 2022,8-5
Western Kentucky 2022,9-5
LSU 2022,10-4
Boston College 2022,3-9
UMass 2022,1-11
Maryland 2022,8-5
Michigan State 2022,5-7
Michigan 2022,13-1
Minnesota 2022,9-4
Missouri 2022,6-7
Ole Miss 2022,8-5
Duke 2022,9-4
East Carolina 2022,8-5
NC State 2022,8-5
North Carolina 2022,9-5
Wake Forest 2022,8-5
Nebraska 2022,4-8
Rutgers 2022,4-8
New Mexico State 2022,7-6
New Mexico 2022,2-10
Syracuse 2022,7-6
Bowling Green 2022,6-7
Miami (OH) 2022,6-7
Ohio State 2022,11-2
Ohio 2022,10-4
Oklahoma State 2022,7-6
Oklahoma 2022,6-7
Tulsa 2022,5-7
Oregon State 2022,10-3
Penn State 2022,11-2
Temple 2022,3-9
Pittsburgh 2022,9-4
Clemson 2022,11-3
Memphis 2022,7-6
Vanderbilt 2022,5-7
Baylor 2022,6-7
Rice 2022,5-8
Texas A&M 2022,5-7
