id,school,season,team_id
30,USC,2018,USC 2018
254,Utah,2018,Utah 2018
328,Utah State,2018,Utah State 2018
2638,UTEP,2018,UTEP 2018
2636,UT San Antonio,2018,UT San Antonio 2018
238,Vanderbilt,2018,Vanderbilt 2018
258,Virginia,2018,Virginia 2018
259,Virginia Tech,2018,Virginia Tech 2018
154,Wake Forest,2018,Wake Forest 2018
264,Washington,2018,Washington 2018
265,Washington State,2018,Washington State 2018
98,Western Kentucky,2018,Western Kentucky 2018
2711,Western Michigan,2018,Western Michigan 2018
277,West Virginia,2018,West Virginia 2018
275,Wisconsin,2018,Wisconsin 2018
2751,Wyoming,2018,Wyoming 2018
2005,Air Force,2019,Air Force 2019
2006,Akron,2019,Akron 2019
333,Alabama,2019,Alabama 2019
2026,Appalachian State,2019,Appalachian State 2019
12,Arizona,2019,Arizona 2019
9,Arizona State,2019,Arizona State 2019
8,Arkansas,2019,Arkansas 2019
2032,Arkansas State,2019,Arkansas State 2019
349,Army,2019,Army 2019
2,Auburn,2019,Auburn 2019
2050,Ball State,2019,Ball State 2019
239,Baylor,2019,Baylor 2019
68,Boise State,2019,Boise State 2019
103,Boston College,2019,Boston College 2019
189,Bowling Green,2019,Bowling Green 2019
2084,Buffalo,2019,Buffalo 2019
252,BYU,2019,BYU 2019
25,California,2019,California 2019
2117,Central Michigan,2019,Central Michigan 2019
2429,Charlotte,2019,Charlotte 2019
2132,Cincinnati,2019,Cincinnati 2019
228,Clemson,2019,Clemson 2019
324,Coastal Carolina,2019,Coastal Carolina 2019
38,Colorado,2019,Colorado 2019
36,Colorado State,2019,Colorado State 2019
41,Connecticut,2019,Connecticut 2019
150,Duke,2019,Duke 2019
151,East Carolina,2019,East Carolina 2019
2199,Eastern Michigan,2019,Eastern Michigan 2019
57,Florida,2019,Florida 2019
2226,Florida Atlantic,2019,Florida Atlantic 2019
2229,Florida International,2019,Florida International 2019
52,Florida State,2019,Florida State 2019
278,Fresno State,2019,Fresno State 2019
61,Georgia,2019,Georgia 2019
290,Georgia Southern,2019,Georgia Southern 2019
2247,Georgia State,2019,Georgia State 2019
59,Georgia Tech,2019,Georgia Tech 2019
62,Hawai'i,2019,Hawai'i 2019
248,Houston,2019,Houston 2019
356,Illinois,2019,Illinois 2019
84,Indiana,2019,Indiana 2019
2294,Iowa,2019,Iowa 2019
66,Iowa State,2019,Iowa State 2019
2305,Kansas,2019,Kansas 2019
2306,Kansas State,2019,Kansas State 2019
2309,Kent State,2019,Kent State 2019
96,Kentucky,2019,Kentucky 2019
2335,Liberty,2019,Liberty 2019
309,Louisiana,2019,Louisiana 2019
2433,Louisiana Monroe,2019,Louisiana Monroe 2019
2348,Louisiana Tech,2019,Louisiana Tech 2019
97,Louisville,2019,Louisville 2019
99,LSU,2019,LSU 2019
276,Marshall,2019,Marshall 2019
120,Maryland,2019,Maryland 2019
235,Memphis,2019,Memphis 2019
2390,Miami,2019,Miami 2019
193,Miami (OH),2019,Miami (OH) 2019
130,Michigan,2019,Michigan 2019
127,Michigan State,2019,Michigan State 2019
2393,Middle Tennessee,2019,Middle Tennessee 2019
135,Minnesota,2019,Minnesota 2019
344,Mississippi State,2019,Mississippi State 2019
142,Missouri,2019,Missouri 2019
2426,Navy,2019,Navy 2019
152,NC State,2019,NC State 2019
158,Nebraska,2019,Nebraska 2019
2440,Nevada,2019,Nevada 2019
167,New Mexico,2019,New Mexico 2019
166,New Mexico State,2019,New Mexico State 2019
153,North Carolina,2019,North Carolina 2019
2459,Northern Illinois,2019,Northern Illinois 2019
249,North Texas,2019,North Texas 2019
77,Northwestern,2019,Northwestern 2019
87,Notre Dame,2019,Notre Dame 2019
195,Ohio,2019,Ohio 2019
194,Ohio State,2019,Ohio State 2019
201,Oklahoma,2019,Oklahoma 2019
197,Oklahoma State,2019,Oklahoma State 2019
295,Old Dominion,2019,Old Dominion 2019
145,Ole Miss,2019,Ole Miss 2019
2483,Oregon,2019,Oregon 2019
204,Oregon State,2019,Oregon State 2019
213,Penn State,2019,Penn State 2019
221,Pittsburgh,2019,Pittsburgh 2019
2509,Purdue,2019,Purdue 2019
242,Rice,2019,Rice 2019
164,Rutgers,2019,Rutgers 2019
21,San Diego State,2019,San Diego State 2019
23,San José State,2019,San José State 2019
2567,SMU,2019,SMU 2019
6,South Alabama,2019,South Alabama 2019
2579,South Carolina,2019,South Carolina 2019
2572,Southern Mississippi,2019,Southern Mississippi 2019
58,South Florida,2019,South Florida 2019
24,Stanford,2019,Stanford 2019
183,Syracuse,2019,Syracuse 2019
2628,TCU,2019,TCU 2019
218,Temple,2019,Temple 2019
2633,Tennessee,2019,Tennessee 2019
251,Texas,2019,Texas 2019
245,Texas A&M,2019,Texas A&M 2019
326,Texas State,2019,Texas State 2019
2641,Texas Tech,2019,Texas Tech 2019
2649,Toledo,2019,Toledo 2019
2653,Troy,2019,Troy 2019
2655,Tulane,2019,Tulane 2019
202,Tulsa,2019,Tulsa 2019
5,UAB,2019,UAB 2019
2116,UCF,2019,UCF 2019
26,UCLA,2019,UCLA 2019
113,UMass,2019,UMass 2019
2439,UNLV,2019,UNLV 2019
30,USC,2019,USC 2019
254,Utah,2019,Utah 2019
328,Utah State,2019,Utah State 2019
2638,UTEP,2019,UTEP 2019
2636,UT San Antonio,2019,UT San Antonio 2019
238,Vanderbilt,2019,Vanderbilt 2019
258,Virginia,2019,Virginia 2019
259,Virginia Tech,2019,Virginia Tech 2019
154,Wake Forest,2019,Wake Forest 2019
264,Washington,2019,Washington 2019
265,Washington State,2019,Washington State 2019
98,Western Kentucky,2019,Western Kentucky 2019
2711,Western Michigan,2019,Western Michigan 2019
277,West Virginia,2019,West Virginia 2019
275,Wisconsin,2019,Wisconsin 2019
2751,Wyoming,2019,Wyoming 2019
2005,Air Force,2020,Air Force 2020
2006,Akron,2020,Akron 2020
333,Alabama,2020,Alabama 2020
2026,Appalachian State,2020,Appalachian State 2020
12,Arizona,2020,Arizona 2020
9,Arizona State,2020,Arizona State 2020
8,Arkansas,2020,Arkansas 2020
2032,Arkansas State,2020,Arkansas State 2020
349,Army,2020,Army 2020
2,Auburn,2020,Auburn 2020
2050,Ball State,2020,Ball State 2020
239,Baylor,2020,Baylor 2020
68,Boise State,2020,Boise State 2020
103,Boston College,2020,Boston College 2020
189,Bowling Green,2020,Bowling Green 2020
2084,Buffalo,2020,Buffalo 2020
252,BYU,2020,BYU 2020
25,California,2020,California 2020
2117,Central Michigan,2020,Central Michigan 2020
2429,Charlotte,2020,Charlotte 2020
2132,Cincinnati,2020,Cincinnati 2020
228,Clemson,2020,Clemson 2020
324,Coastal Carolina,2020,Coastal Carolina 2020
38,Colorado,2020,Colorado 2020
36,Colorado State,2020,Colorado State 2020
41,Connecticut,2020,Connecticut 2020
150,Duke,2020,Duke 2020
151,East Carolina,2020,East Carolina 2020
2199,Eastern Michigan,2020,Eastern Michigan 2020
57,Florida,2020,Florida 2020
2226,Florida Atlantic,2020,Florida Atlantic 2020
2229,Florida International,2020,Florida International 2020
52,Florida State,2020,Florida State 2020
278,Fresno State,2020,Fresno State 2020
61,Georgia,2020,Georgia 2020
290,Georgia Southern,2020,Georgia Southern 2020
2247,Georgia State,2020,Georgia State 2020
59,Georgia Tech,2020,Georgia Tech 2020
62,Hawai'i,2020,Hawai'i 2020
248,Houston,2020,Houston 2020
356,Illinois,2020,Illinois 2020
84,Indiana,2020,Indiana 2020
2294,Iowa,2020,Iowa 2020
66,Iowa State,2020,Iowa State 2020
2305,Kansas,2020,Kansas 2020
2306,Kansas State,2020,Kansas State 2020
2309,Kent State,2020,Kent State 2020
96,Kentucky,2020,Kentucky 2020
2335,Liberty,2020,Liberty 2020
309,Louisiana,2020,Louisiana 2020
2433,Louisiana Monroe,2020,Louisiana Monroe 2020
2348,Louisiana Tech,2020,Louisiana Tech 2020
97,Louisville,2020,Louisville 2020
99,LSU,2020,LSU 2020
276,Marshall,2020,Marshall 2020
120,Maryland,2020,Maryland 2020
235,Memphis,2020,Memphis 2020
2390,Miami,2020,Miami 2020
193,Miami (OH),2020,Miami (OH) 2020
130,Michigan,2020,Michigan 2020
127,Michigan State,2020,Michigan State 2020
2393,Middle Tennessee,2020,Middle Tennessee 2020
135,Minnesota,2020,Minnesota 2020
344,Mississippi State,2020,Mississippi State 2020
142,Missouri,2020,Missouri 2020
2426,Navy,2020,Navy 2020
152,NC State,2020,NC State 2020
158,Nebraska,2020,Nebraska 2020
2440,Nevada,2020,Nevada 2020
167,New Mexico,2020,New Mexico 2020
166,New Mexico State,2020,New Mexico State 2020
153,North Carolina,2020,North Carolina 2020
2459,Northern Illinois,2020,Northern Illinois 2020
249,North Texas,2020,North Texas 2020
77,Northwestern,2020,Northwestern 2020
87,Notre Dame,2020,Notre Dame 2020
195,Ohio,2020,Ohio 2020
194,Ohio State,2020,Ohio State 2020
201,Oklahoma,2020,Oklahoma 2020
197,Oklahoma State,2020,Oklahoma State 2020
295,Old Dominion,2020,Old Dominion 2020
145,Ole Miss,2020,Ole Miss 2020
2483,Oregon,2020,Oregon 2020
204,Oregon State,2020,Oregon State 2020
213,Penn State,2020,Penn State 2020
221,Pittsburgh,2020,Pittsburgh 2020
2509,Purdue,2020,Purdue 2020
242,Rice,2020,Rice 2020
164,Rutgers,2020,Rutgers 2020
21,San Diego State,2020,San Diego State 2020
23,San José State,2020,San José State 2020
2567,SMU,2020,SMU 2020
6,South Alabama,2020,South Alabama 2020
2579,South Carolina,2020,South Carolina 2020
2572,Southern Mississippi,2020,Southern Mississippi 2020
58,South Florida,2020,South Florida 2020
24,Stanford,2020,Stanford 2020
183,Syracuse,2020,Syracuse 2020
2628,TCU,2020,TCU 2020
218,Temple,2020,Temple 2020
2633,Tennessee,2020,Tennessee 2020
251,Texas,2020,Texas 2020
245,Texas A&M,2020,Texas A&M 2020
326,Texas State,2020,Texas State 2020
2641,Texas Tech,2020,Texas Tech 2020
2649,Toledo,2020,Toledo 2020
2653,Troy,2020,Troy 2020
2655,Tulane,2020,Tulane 2020
202,Tulsa,2020,Tulsa 2020
5,UAB,2020,UAB 2020
2116,UCF,2020,UCF 2020
26,UCLA,2020,UCLA 2020
113,UMass,2020,UMass 2020
2439,UNLV,2020,UNLV 2020
30,USC,2020,USC 2020
254,Utah,2020,Utah 2020
328,Utah State,2020,Utah State 2020
2638,UTEP,2020,UTEP 2020
2636,UT San Antonio,2020,UT San Antonio 2020
238,Vanderbilt,2020,Vanderbilt 2020
258,Virginia,2020,Virginia 2020
259,Virginia Tech,2020,Virginia Tech 2020
154,Wake Forest,2020,Wake Forest 2020
264,Washington,2020,Washington 2020
265,Washington State,2020,Washington State 2020
98,Western Kentucky,2020,Western Kentucky 2020
2711,Western Michigan,2020,Western Michigan 2020
277,West Virginia,2020,West Virginia 2020
275,Wisconsin,2020,Wisconsin 2020
2751,Wyoming,2020,Wyoming 2020
2005,Air Force,2021,Air Force 2021
2006,Akron,2021,Akron 2021
333,Alabama,2021,Alabama 2021
2026,Appalachian State,2021,Appalachian State 2021
12,Arizona,2021,Arizona 2021
9,Arizona State,2021,Arizona State 2021
8,Arkansas,2021,Arkansas 2021
2032,Arkansas State,2021,Arkansas State 2021
349,Army,2021,Army 2021
2,Auburn,2021,Auburn 2021
2050,Ball State,2021,Ball State 2021
239,Baylor,2021,Baylor 2021
68,Boise State,2021,Boise State 2021
103,Boston College,2021,Boston College 2021
189,Bowling Green,2021,Bowling Green 2021
2084,Buffalo,2021,Buffalo 2021
252,BYU,2021,BYU 2021
